Name,F,M,ratio,total
Jessie,169704,111202,0.6552703530853722,280906.6552703531
Riley,137477,103344,0.7517184692712235,240821.75171846928
Casey,77869,115589,0.6736713701130731,193458.6736713701
Jackie,91167,78836,0.8647427248894886,170003.8647427249
Johnnie,49154,102028,0.4817697102756106,151182.48176971028
Peyton,86635,51982,0.6000115426790558,138617.60001154267
Jaime,50031,71068,0.7039877300613497,121099.70398773006
Kendall,65593,35186,0.5364291921394051,100779.53642919214
Kerry,48652,49911,0.9747750996774258,98563.97477509968
Jody,55829,31520,0.5645811316699206,87349.56458113166
Quinn,49850,36324,0.7286659979939819,86174.72866599799
Frankie,36607,42007,0.8714499964291665,78614.87144999643
Dominique,50730,23435,0.46195545042381236,74165.46195545042
Harley,30410,40499,0.7508827378453788,70909.75088273785
Skyler,27264,41509,0.656821412223855,68773.65682141222
Pat,40122,26732,0.6662678829569812,66854.66626788296
Rowan,20976,45386,0.46216895077777287,66362.46216895078
Emerson,31797,32138,0.9893895077478374,63935.98938950775
Emery,40609,20100,0.49496417050407543,60709.4949641705
River,18256,36498,0.5001917913310319,54754.50019179133
